,0
0,"5 Magical Cyber Gems That, When Printed Out And Combined As One, Will Arm You With The Awesome Power Of The Internet!"
1,With Great Art Comes Great Sacrifice: 5 Times Jacuzzi Phil Dove Head First Into The Jacuzzi And Broke His Skull
2,The Fact That These Animals Have Killed People Does Not Make Them Any Less Adorable. They Are Beasts And Do Not Know Better.
3,"Come And Git It, Boys! 6 Hunky Ranch Hands Who Could Use A Little Patricia In Their Lassos"
4,Prioritizing Self-Care: This Woman Is Enjoying Her Pedicure Too Much To Be Bothered By The Very Obvious Human Trafficking Situation Going On In The Nail Salon
5,"Sorry, This Kind Of Stuff Isn’t Really Our Thing: A Few Pretty Bad Blowjob Tips"
6,5 Terrifying Life Lessons I Learned While Teaching Badminton To The Elderly
7,They Just Want To Get Through The Day: Axe Body Spray Has Released A New Undetectable Scent For Shy 8th Grade Boys Who Don’t Want To Be Noticed
8,8 People You Correctly Thought Were Dead
9,5 Fallback Animals That Could Symbolize Wisdom If The Worst Should Ever Happen To Owls
10,"5 Times Hagrid Was In Charge Of Throwing The Sex-And-Drugs Party For Quidditch Recruits, Ranked By How Depressing The Whole Thing Was"
11,"Come One, Come All, And Gather Round The ClickHole Christmas Tree!"
12,Do You Have What It Takes To Convince Greta Thunberg That The Ocean Is Not Important?
13,My Mom Gave Me $5 To Go Buy Snacks And Instead I Bought These Pictures Of Wyclef Jean
14,Do You Want To Hear About My Big Bucket Of Yogurt? You Want To Hear What Kinds Of Animals Have Climbed Into My Huge Bucket Of Yogurt And Died?
15,The 6 Children That Walt Disney Very Clearly Specified Were Never Allowed To Go To Disneyland
16,This All You People Deserve: Here Are 2 Gulls
17,Need Something To Do Today? Here Are 5 Extremely Easy Ways To Ruin My Life
18,"These Kitten Pictures Aren’t All That Adorable, But The Guy Who Gave Us This List Is Scary And We’re Not Going To Argue With Him About It"
19,‘Office’ Fans Rejoice! John Krasinski Has Revealed That In 2020 Jim And Pam Abandon Their Children And Leave Scranton To Follow Coheed And Cambria On Tour
20,8 Photos Of Naked Mole-Rats That Are Less Disconcerting When You Remember Nature Is Pretty Much Just Nonsense
21,Help Us Rehabilitate Our Friend Errol’s Bad Boy Image By Looking At These 5 Pictures Of Him Gardening
22,6 Weasels That Will Make You Nod Your Head And Say ‘Weasels’
23,You Shall Look At These Pictures Of Tortoises While I Practice My Flute
24,How Many Of These Isaac Asimov Novels Have You Read?
25,"Hi, This Is Your Grandfather’s Boss. These Are The 5 Infractions That Gave Me No Choice But To Pinch Him At Work Today (I Didn’t Want To Do It)"
26,Can You Break Up With Me?
27,Did ‘Sesame Street’ Go Too Far With The Episode Where The Count Calls Elmo A “White Trash Bitch” To Teach Kids About Classism?
28,Tired Of Waiting: Bruno Mars Has Revealed That He’s Fast-Forwarding His Career To The Part Where He Looks Old As Shit And Has A Sad Residency In Vegas
